name,company,year,Price,kms_driven,fuel_type
Hyundai Santro Xing XO eRLX Euro III,Hyundai,2007,80000.0,45000.0,Petrol
Mahindra Jeep CL550 MDI,Mahindra,2006,425000.0,40.0,Diesel
Hyundai Grand i10 Magna 12 Kappa VTVT,Hyundai,2014,325000.0,28000.0,Petrol
Ford EcoSport Titanium 15L TDCi,Ford,2014,575000.0,36000.0,Diesel
Ford Figo,Ford,2012,175000.0,41000.0,Diesel
Hyundai Eon,Hyundai,2013,190000.0,25000.0,Petrol
Ford EcoSport Ambiente 15L TDCi,Ford,2016,830000.0,24530.0,Diesel
Maruti Suzuki Alto K10 VXi AMT,Maruti Suzuki,2015,250000.0,60000.0,Petrol
Skoda Fabia Classic 12 MPI,Skoda,2010,182000.0,60000.0,Petrol
Maruti Suzuki Stingray VXi,Maruti Suzuki,2015,315000.0,30000.0,Petrol
Hyundai Elite i20 Magna 12,Hyundai,2014,415000.0,32000.0,Petrol
Mahindra Scorpio SLE BS IV,Mahindra,2015,320000.0,48660.0,Diesel
Audi A8,Audi,2017,1000000.0,4000.0,Petrol
Audi Q7,Audi,2014,500000.0,16934.0,Diesel
Mahindra Scorpio S10,Mahindra,2016,350000.0,43000.0,Diesel
Maruti Suzuki Alto 800,Maruti Suzuki,2014,160000.0,35550.0,Petrol
Mahindra Scorpio S10,Mahindra,2016,310000.0,39522.0,Diesel
Maruti Suzuki Alto 800 Vxi,Maruti Suzuki,2015,75000.0,39000.0,Petrol
Hyundai i20 Sportz 12,Hyundai,2012,100000.0,55000.0,Petrol
Maruti Suzuki Alto 800 Lx,Maruti Suzuki,2017,190000.0,72000.0,Petrol
Maruti Suzuki Vitara Brezza ZDi,Maruti Suzuki,2016,290000.0,15975.0,Diesel
Maruti Suzuki Alto LX,Maruti Suzuki,2008,95000.0,70000.0,Petrol
Mahindra Bolero DI,Mahindra,2017,180000.0,23452.0,Diesel
Maruti Suzuki Swift Dzire ZDi,Maruti Suzuki,2014,385000.0,35522.0,Diesel
Mahindra Scorpio S10 4WD,Mahindra,2015,250000.0,48508.0,Diesel
Maruti Suzuki Swift Vdi BSIII,Maruti Suzuki,2017,180000.0,15487.0,Petrol
Maruti Suzuki Wagon R VXi BS III,Maruti Suzuki,2013,105000.0,39000.0,Petrol
Maruti Suzuki Wagon R VXi Minor,Maruti Suzuki,2013,105000.0,39000.0,Petrol
Toyota Innova 20 G 8 STR BS IV,Toyota,2012,650000.0,82000.0,Diesel
Renault Lodgy 85 PS RXL,Renault,2018,689999.0,20000.0,Diesel
Skoda Yeti Ambition 20 TDI CR 4x2,Skoda,2012,448000.0,68000.0,Diesel
Maruti Suzuki Baleno Delta 12,Maruti Suzuki,2017,549000.0,32000.0,Diesel
